	Q6PUV4	Q9UHG2	Q16143	Q9UMF0	Q9UPA5	Q16623	O76070	O43761	Q92686	Q7L1I2	P50454	Q9UBG0	P55061	Q6UX53	Q02809	O00469	P13674	Q8IUX7	P48681	Q70UQ0	subtypes
TW720	1.548859287	2.06554615	3.220648687	2.138894595	0.834269612	2.834679475	4.154538398	0.895283603	4.514863127	0.60529203	1.413243506	1.028359869	NA	0.476829462	-0.520596652	-0.182188135	-0.068993025	0.127772589	3.104703809	-0.227942899	subtype2+3+4
TW721	-1.943984327	-0.842808176	-0.357619168	-1.275186266	-1.535059787	0.508135456	-0.103536499	0.233810435	1.131679941	-0.051369696	2.799664632	2.445655491	-2.086361057	2.80386254	1.820035417	1.312693276	2.123780215	1.571062609	2.246393644	0.731378278	subtype2+3+4
TW723	2.145748733	0.205653141	2.34942119	2.142509917	1.743809178	2.666668319	0.954769218	2.550781028	3.733783497	2.221013202	1.390613781	1.92467447	-2.20767169	1.622065933	0.687521455	-0.128809229	0.668085574	0.55816394	2.212605202	0.42152501	subtype2+3+4
TW724	2.048058954	0.844527755	3.153741313	2.643088226	1.977126385	2.762878164	2.371025377	2.586293573	4.915124584	2.089433776	1.941759712	1.47577885	-2.355811707	2.209778349	0.449157428	0.079348694	1.068112905	0.541361248	3.59376042	0.485562631	subtype2+3+4
TW725	2.423658752	0.858932896	2.721129849	-0.733268784	0.016526987	2.773239593	4.46345841	0.071089031	4.635818172	-0.004023594	2.278010857	1.28069027	NA	1.157270578	0.331395136	-1.320575955	0.618770846	0.161669871	3.594917848	-0.085770684	subtype2+3+4
TW726	NA	NA	NA	NA	NA	-0.802544782	NA	NA	-0.785374848	NA	3.742478166	2.069720305	-2.20534126	2.535784618	2.308780829	1.196022624	1.765032686	1.423952098	2.143639091	1.107307355	subtype2+3+4
TW727	4.599223145	3.653165657	4.416737301	3.462646674	3.039692932	4.72139726	5.317240053	3.814171244	6.675141172	3.50140213	-0.973742179	-1.50533434	-4.430250988	-1.845408839	NA	-2.045459664	-2.24558412	-1.514051539	-0.390787674	NA	subtype1
TW729	NA	-0.752392252	0.260656893	-1.699893419	-1.691389598	-0.571881291	0.031523706	-1.320683991	2.139128404	NA	3.422491491	1.787803496	-1.362817179	1.981558203	2.102278292	2.378953906	1.905923412	2.253284277	4.980057035	1.886740217	subtype2+3+4
TW730	1.759145115	0.690896655	3.581585834	-0.173917085	-1.218286625	1.739486558	5.531010255	NA	5.372578422	NA	0.192768207	0.243524403	NA	NA	-0.997035698	-1.632846981	-1.046306857	-0.285904544	3.166204982	-0.358716273	subtype2+3+4
TW731	0.389472369	-1.087667243	1.899119101	0.975920926	0.062130996	2.500826633	2.725994615	1.416225983	3.744174584	1.226153395	3.23611121	2.17221917	-2.159477058	1.696111311	1.964275575	1.803487742	1.768252926	0.584618351	4.059299121	1.160736237	subtype2+3+4
TW732	0.978130573	-1.278058992	2.960092498	-0.454650417	-0.613675418	2.177541403	4.610550576	-0.259668033	5.101264757	-0.754991197	1.822901958	1.327051255	NA	NA	-0.196574504	-0.343699359	0.351865811	0.418974852	3.162138165	-1.206161948	subtype2+3+4
TW733	-1.063027728	-1.299114375	0.577763714	-0.937095355	-1.37451733	0.843733623	0.425304974	-0.726154171	2.907745466	-0.859000673	3.709647332	2.26586167	-1.982135546	2.801737782	2.096899711	2.336210396	2.217742257	1.112179941	3.881924044	1.927114132	subtype2+3+4
TW735	4.453205791	3.268421667	4.996580073	3.211496046	2.982285396	5.142039402	5.309465804	3.642542528	6.58878881	2.965495838	-0.332424689	-1.504826632	NA	-1.572166006	NA	-1.679764447	-1.191433873	NA	0.691640794	NA	subtype1
TW736	0.451506516	0.88363516	1.531373398	1.728197021	-0.496591671	2.001964426	1.570629098	1.014948907	3.628965753	-0.210271561	2.268062784	1.711798518	-1.098646943	-0.184538756	1.10111956	0.366324872	1.432294138	2.002705616	4.616564641	0.937186637	subtype2+3+4
TW737	NA	-1.155260448	-0.708626394	NA	NA	-0.486677794	-0.128400417	-1.500671183	0.579643418	-1.107974583	2.626734948	2.049053309	-1.227250955	1.749147156	1.336464594	0.795905706	1.258563814	1.267377582	3.372477177	1.015885631	subtype2+3+4
TW740	3.891264722	3.457193568	4.651372673	3.463425088	3.155506481	4.775462547	5.067793076	3.952421501	6.292719642	3.581480876	-1.043137304	-1.19725343	NA	-1.915329824	-2.295459362	-2.446388803	-1.178166011	-2.173207123	0.231065698	NA	subtype1
TW741	0.758127053	-0.971232139	1.159074352	-0.881795699	-1.304493549	0.550160985	2.219692899	-0.017046893	2.958351452	-0.41986516	2.99767406	1.989896287	-1.887127612	2.373468918	1.362969549	1.844388339	1.627764143	1.62900232	3.225428108	0.839811185	subtype2+3+4
TW742	2.905944285	0.385670539	2.276621495	1.38984655	0.385747811	2.696101813	3.352388947	-0.000171456	5.147507596	-0.196045422	1.197849728	0.411459981	-2.08337572	1.288215572	-0.614444749	-0.752338639	-0.435426292	0.990716829	3.82498154	-0.857287651	subtype2+3+4
TW744	4.242949048	3.509706698	4.659208225	3.170445665	2.131058389	4.755115151	5.052383486	2.870332043	5.902595387	2.731806126	-2.006778383	-1.706170841	NA	NA	NA	-1.570992169	-1.253774344	NA	-0.634903811	NA	subtype1
