index	precision	recall	f1-score	support
nmf1	1.0	1.0	1.0	29.0
nmf2	0.9487179487179487	1.0	0.9736842105263158	37.0
nmf3	1.0	0.9230769230769231	0.9600000000000001	26.0
accuracy	0.9782608695652174	0.9782608695652174	0.9782608695652174	0.9782608695652174
macro avg	0.982905982905983	0.9743589743589745	0.9778947368421053	92.0
weighted avg	0.9793756967670011	0.9782608695652174	0.978112128146453	92.0
